,MAP_MMC_in,MAP_MMC_FMNIST,MAP_MMC_notMNIST,MAP_MMC_KMNIST,MAP_AUROC_FMNIST,MAP_AUROC_notMNIST,MAP_AUROC_KMNIST,MAP_NLL_in,MAP_NLL_FMNIST,MAP_NLL_notMNIST,MAP_NLL_KMNIST,MAP_ECE_in,MAP_ECE_FMNIST,MAP_ECE_notMNIST,MAP_ECE_KMNIST,Diag_samples_MMC_in,Diag_samples_MMC_FMNIST,Diag_samples_MMC_notMNIST,Diag_samples_MMC_KMNIST,Diag_samples_AUROC_FMNIST,Diag_samples_AUROC_notMNIST,Diag_samples_AUROC_KMNIST,Diag_samples_NLL_in,Diag_samples_NLL_FMNIST,Diag_samples_NLL_notMNIST,Diag_samples_NLL_KMNIST,Diag_samples_ECE_in,Diag_samples_ECE_FMNIST,Diag_samples_ECE_notMNIST,Diag_samples_ECE_KMNIST,KFAC_samples_MMC_in,KFAC_samples_MMC_FMNIST,KFAC_samples_MMC_notMNIST,KFAC_samples_MMC_KMNIST,KFAC_samples_AUROC_FMNIST,KFAC_samples_AUROC_notMNIST,KFAC_samples_AUROC_KMNIST,KFAC_samples_NLL_in,KFAC_samples_NLL_FMNIST,KFAC_samples_NLL_notMNIST,KFAC_samples_NLL_KMNIST,KFAC_samples_ECE_in,KFAC_samples_ECE_FMNIST,KFAC_samples_ECE_notMNIST,KFAC_samples_ECE_KMNIST,Diag_LB_MMC_in,Diag_LB_MMC_FMNIST,Diag_LB_MMC_notMNIST,Diag_LB_MMC_KMNIST,Diag_LB_AUROC_FMNIST,Diag_LB_AUROC_notMNIST,Diag_LB_AUROC_KMNIST,Diag_LB_NLL_in,Diag_LB_NLL_FMNIST,Diag_LB_NLL_notMNIST,Diag_LB_NLL_KMNIST,Diag_LB_ECE_in,Diag_LB_ECE_FMNIST,Diag_LB_ECE_notMNIST,Diag_LB_ECE_KMNIST,KFAC_LB_MMC_in,KFAC_LB_MMC_FMNIST,KFAC_LB_MMC_notMNIST,KFAC_LB_MMC_KMNIST,KFAC_LB_AUROC_FMNIST,KFAC_LB_AUROC_notMNIST,KFAC_LB_AUROC_KMNIST,KFAC_LB_NLL_in,KFAC_LB_NLL_FMNIST,KFAC_LB_NLL_notMNIST,KFAC_LB_NLL_KMNIST,KFAC_LB_ECE_in,KFAC_LB_ECE_FMNIST,KFAC_LB_ECE_notMNIST,KFAC_LB_ECE_KMNIST,Diag_LB_norm_MMC_in,Diag_LB_norm_MMC_FMNIST,Diag_LB_norm_MMC_notMNIST,Diag_LB_norm_MMC_KMNIST,Diag_LB_norm_AUROC_FMNIST,Diag_LB_norm_AUROC_notMNIST,Diag_LB_norm_AUROC_KMNIST,Diag_LB_norm_NLL_in,Diag_LB_norm_NLL_FMNIST,Diag_LB_norm_NLL_notMNIST,Diag_LB_norm_NLL_KMNIST,Diag_LB_norm_ECE_in,Diag_LB_norm_ECE_FMNIST,Diag_LB_norm_ECE_notMNIST,Diag_LB_norm_ECE_KMNIST,KFAC_LB_norm_MMC_in,KFAC_LB_norm_MMC_FMNIST,KFAC_LB_norm_MMC_notMNIST,KFAC_LB_norm_MMC_KMNIST,KFAC_LB_norm_AUROC_FMNIST,KFAC_LB_norm_AUROC_notMNIST,KFAC_LB_norm_AUROC_KMNIST,KFAC_LB_norm_NLL_in,KFAC_LB_norm_NLL_FMNIST,KFAC_LB_norm_NLL_notMNIST,KFAC_LB_norm_NLL_KMNIST,KFAC_LB_norm_ECE_in,KFAC_LB_norm_ECE_FMNIST,KFAC_LB_norm_ECE_notMNIST,KFAC_LB_norm_ECE_KMNIST,Diag_PROBIT_MMC_in,Diag_PROBIT_MMC_FMNIST,Diag_PROBIT_MMC_notMNIST,Diag_PROBIT_MMC_KMNIST,Diag_PROBIT_AUROC_FMNIST,Diag_PROBIT_AUROC_notMNIST,Diag_PROBIT_AUROC_KMNIST,Diag_PROBIT_NLL_in,Diag_PROBIT_NLL_FMNIST,Diag_PROBIT_NLL_notMNIST,Diag_PROBIT_NLL_KMNIST,Diag_PROBIT_ECE_in,Diag_PROBIT_ECE_FMNIST,Diag_PROBIT_ECE_notMNIST,Diag_PROBIT_ECE_KMNIST,KFAC_PROBIT_MMC_in,KFAC_PROBIT_MMC_FMNIST,KFAC_PROBIT_MMC_notMNIST,KFAC_PROBIT_MMC_KMNIST,KFAC_PROBIT_AUROC_FMNIST,KFAC_PROBIT_AUROC_notMNIST,KFAC_PROBIT_AUROC_KMNIST,KFAC_PROBIT_NLL_in,KFAC_PROBIT_NLL_FMNIST,KFAC_PROBIT_NLL_notMNIST,KFAC_PROBIT_NLL_KMNIST,KFAC_PROBIT_ECE_in,KFAC_PROBIT_ECE_FMNIST,KFAC_PROBIT_ECE_notMNIST,KFAC_PROBIT_ECE_KMNIST
0,0.985782,0.663287,0.77444905,0.7228173,0.9765271700000001,0.914163933988464,0.95898789,0.03344982489943504,4.6731367111206055,6.672377586364746,6.748490810394287,0.009983010101010131,0.5903608484848487,0.6404300589747076,0.6294307171717172,0.95501953,0.536265,0.5459131,0.5212035,0.9754184250000001,0.9652499759666737,0.973745435,0.06230311095714569,3.959667682647705,4.29709529876709,4.888983726501465,0.035902202020202015,0.4649340606060607,0.3965687099579431,0.4284233333333334,0.9610273,0.45987993,0.5040162,0.47102422,0.9873926900000001,0.9744213415936768,0.9846984499999999,0.05584088712930679,3.572028875350952,3.9732604026794434,4.5401787757873535,0.030459050505050492,0.3892631717171717,0.3673560212248527,0.37375134343434346,0.9809948,0.5649474,0.7352877,0.7107781,0.9814066000000002,0.9298571699423199,0.9488182,0.04441384971141815,3.6603105068206787,5.662569999694824,5.747828006744385,0.011982979797979758,0.47848686868686874,0.6004942827117575,0.6166399090909092,0.9849407,0.6299016,0.7567809,0.71238565,0.976685655,0.9118743778038881,0.9563275500000001,0.034395378082990646,3.8782148361206055,6.012231349945068,6.0469770431518555,0.011697111111111132,0.5533336060606061,0.6343987298751239,0.6188297171717172,0.9438912,0.5887353,0.491839,0.48425454,0.95081493,0.9549825731681265,0.96971338,0.0782468244433403,3.537593364715576,3.0696640014648438,3.2884371280670166,0.04510523232323231,0.49797543434343433,0.359682760093997,0.390623090909091,0.97505,0.44360796,0.40879914,0.41422495,0.9901502899999999,0.9861046117282631,0.99068384,0.04250513017177582,2.871037483215332,2.8542919158935547,3.1619153022766113,0.01777412121212121,0.3636129696969697,0.29411387426928987,0.32847119191919194,0.9673292,0.59687716,0.6164305,0.58026445,0.970842335,0.9578185216834009,0.9690341150000001,0.04994567483663559,3.826937198638916,3.8394839763641357,4.276109218597412,0.0236400909090909,0.5234960303030304,0.4882484533435186,0.48862072727272726,0.103386156,0.1020879,0.102232814,0.101899154,0.93719496,0.8876241454817346,0.9483798,2.269347906112671,2.3020620346069336,2.30072021484375,2.3035571575164795,0.8833,0.032100000000000004,0.0426714377269814,0.011800000000000005
1,0.985782,0.663287,0.77444905,0.7228173,0.9765271700000001,0.914163933988464,0.95898789,0.03344982489943504,4.6731367111206055,6.672377586364746,6.748490810394287,0.009983010101010131,0.5903608484848487,0.6404300589747076,0.6294307171717172,0.95479494,0.5363291,0.5457522,0.5212763,0.9755278350000001,0.9654764927365947,0.97383262,0.06230257451534271,3.9580538272857666,4.295556545257568,4.891630172729492,0.036334494949494936,0.4630398888888889,0.3953596529274804,0.4283957070707072,0.96106935,0.45949814,0.5038512,0.4705086,0.9875181,0.9743148339030121,0.984812985,0.05548430606722832,3.5648577213287354,3.9722769260406494,4.534057140350342,0.03061257575757575,0.38891553535353535,0.36639301582369305,0.3755553636363637,0.9809948,0.5649474,0.7352877,0.7107781,0.9814066000000001,0.9298571859645374,0.94881819,0.04441385343670845,3.6603105068206787,5.662569999694824,5.747828006744385,0.011982979797979758,0.47848686868686874,0.6004942827117575,0.6166399090909092,0.98495,0.6298767,0.7567835,0.71238065,0.976701515,0.9119219370860927,0.9563579200000001,0.03441731259226799,3.878225326538086,6.012279510498047,6.046909332275391,0.01157957575757578,0.5533024646464647,0.6344702418329848,0.6186973838383838,0.9438912,0.5887353,0.491839,0.48425454,0.9508149349999999,0.9549825865199745,0.969713375,0.0782468244433403,3.537593364715576,3.0696640014648438,3.2884371280670166,0.04510523232323231,0.49797543434343433,0.359682760093997,0.390623090909091,0.975005,0.4434113,0.40866578,0.41403487,0.990153005,0.9860974391155736,0.99068652,0.04257836565375328,2.8705313205718994,2.8537187576293945,3.1608848571777344,0.018112131313131313,0.3634780202020202,0.2943653853208436,0.3277949898989899,0.9673292,0.59687716,0.6164305,0.58026445,0.970842335,0.957818508331553,0.9690341200000001,0.04994567483663559,3.826937198638916,3.8394839763641357,4.276109218597412,0.0236400909090909,0.5234960303030304,0.4882484533435186,0.48862072727272726,0.10627756,0.10292189,0.102955624,0.102717355,0.9809957350000001,0.9715240279854731,0.98137597,2.241856575012207,2.3020920753479004,2.300135850906372,2.3044073581695557,0.8831597575757576,0.032100000000000004,0.0426714377269814,0.011800000000000005
2,0.985782,0.663287,0.77444905,0.7228173,0.9765271700000001,0.914163933988464,0.95898789,0.03344982489943504,4.6731367111206055,6.672377586364746,6.748490810394287,0.009983010101010131,0.5903608484848487,0.6404300589747076,0.6294307171717172,0.9548618,0.5364425,0.54599035,0.52066445,0.97534851,0.9652586039307841,0.9737217649999999,0.06240228936076164,3.9601988792419434,4.299968719482422,4.879719257354736,0.036260226590226576,0.465387505050505,0.39642262186056254,0.4294029595959597,0.96097624,0.459626,0.5038893,0.47106168,0.9873498650000001,0.9743820150608844,0.98468461,0.05536641925573349,3.5701100826263428,3.96529221534729,4.520783424377441,0.03084552525252524,0.3914647878787879,0.3672252378517067,0.3744087070707071,0.9809947,0.5649474,0.7352877,0.7107782,0.9814066,0.9298571913052767,0.94881818,0.04441385716199875,3.660310983657837,5.662569999694824,5.747828006744385,0.011982979797979758,0.47848686868686874,0.6004942827117575,0.6166399090909092,0.984942,0.6298943,0.7567792,0.7123777,0.9766872899999999,0.9118938180944243,0.95633444,0.03443698585033417,3.8782660961151123,6.012222766876221,6.046879768371582,0.01157978787878784,0.5532147272727274,0.6341462855428888,0.618772,0.9438912,0.5887353,0.491839,0.4842546,0.95081493,0.9549825785088657,0.9697133850000001,0.0782468244433403,3.537593364715576,3.0696640014648438,3.2884371280670166,0.04510523232323231,0.49797543434343433,0.359682760093997,0.390623090909091,0.9750464,0.44360155,0.40874767,0.41417325,0.9901469799999999,0.9861094264046145,0.990682575,0.042551033198833466,2.871121883392334,2.854034900665283,3.1616032123565674,0.017340888888888885,0.3638279393939395,0.2940869825866912,0.32811725252525253,0.9673292,0.59687716,0.6164305,0.58026445,0.9708423399999999,0.957818521683401,0.969034125,0.04994567111134529,3.826937198638916,3.8394839763641357,4.276109218597412,0.0236400909090909,0.5234960303030304,0.4882484533435186,0.48862072727272726,0.103386156,0.1020879,0.102232814,0.101899154,0.9371948999999999,0.8876241348002563,0.9483798050000001,2.269347906112671,2.3020620346069336,2.30072021484375,2.3035571575164795,0.8833,0.032100000000000004,0.0426714377269814,0.011800000000000005
3,0.985782,0.663287,0.77444905,0.7228173,0.9765271700000001,0.914163933988464,0.95898789,0.03344982489943504,4.6731367111206055,6.672377586364746,6.748490810394287,0.009983010101010131,0.5903608484848487,0.6404300589747076,0.6294307171717172,0.9549138,0.53597236,0.5462384,0.5206918,0.9755927099999999,0.9654147110660115,0.9738751400000001,0.062057141214609146,3.956839084625244,4.302919387817383,4.895551681518555,0.03604769696969695,0.46329553535353546,0.3972713138649904,0.427332484848485,0.96099764,0.45959854,0.50364137,0.47106725,0.9874866250000002,0.9743749492629781,0.9848711500000001,0.05563165992498398,3.562007427215576,3.971787929534912,4.522256851196289,0.030525939393939387,0.3909093737373737,0.3652359581717626,0.37203678787878786,0.9809947,0.56494737,0.7352877,0.7107781,0.9814066050000001,0.9298571913052767,0.9488182000000001,0.04441385343670845,3.660310983657837,5.662569999694824,5.747828006744385,0.011982979797979758,0.47848686868686874,0.6004942827117575,0.6166399090909092,0.9849439,0.6298872,0.75678086,0.71238357,0.9766926,0.9119095732749413,0.956345335,0.03441504389047623,3.8782424926757812,6.012312412261963,6.046930313110352,0.011590020202020218,0.5533131313131313,0.6343629523174492,0.618862404040404,0.9438912,0.5887353,0.491839,0.48425448,0.950814935,0.9549825758384962,0.96971338,0.0782468244433403,3.537593364715576,3.0696640014648438,3.2884371280670166,0.04510523232323231,0.49797543434343433,0.359682760093997,0.390623090909091,0.97499895,0.44347808,0.40873858,0.41409498,0.9901473350000001,0.986087596133305,0.99067819,0.04257407784461975,2.870635747909546,2.8539750576019287,3.1611342430114746,0.017952383838383833,0.36358337373737376,0.29427598997883125,0.32794173737373733,0.9673292,0.59687716,0.6164305,0.58026445,0.97084234,0.9578185190130314,0.96903412,0.04994567483663559,3.826937198638916,3.8394839763641357,4.276109218597412,0.0236400909090909,0.5234960303030304,0.4882484533435186,0.48862072727272726,0.10660784,0.1029901,0.10302831,0.10278572,0.9826191799999999,0.9735559389019441,0.9828089,2.2387678623199463,2.3020944595336914,2.300083875656128,2.3044819831848145,0.8829377070707071,0.032100000000000004,0.0426714377269814,0.011800000000000005
4,0.985782,0.663287,0.77444905,0.7228173,0.9765271700000001,0.914163933988464,0.95898789,0.03344982489943504,4.6731367111206055,6.672377586364746,6.748490810394287,0.009983010101010131,0.5903608484848487,0.6404300589747076,0.6294307171717172,0.95477235,0.5365409,0.5461418,0.5205867,0.97521155,0.965280920209357,0.973808925,0.06264595687389374,3.9584097862243652,4.297274589538574,4.891968727111816,0.03577905826740308,0.46423521212121216,0.3958858074442352,0.4292162222222224,0.9610622,0.4592455,0.50383884,0.47118193,0.9875047,0.9743645374919889,0.984807695,0.055663175880908966,3.5687148571014404,3.9759345054626465,4.538415431976318,0.029767484848484845,0.3909342626262627,0.36463164544397186,0.37420198989898995,0.9809947,0.5649474,0.7352877,0.7107781,0.9814066049999999,0.9298571886349071,0.9488182000000001,0.04441384971141815,3.660310983657837,5.662569999694824,5.747827529907227,0.011982979797979758,0.47848686868686874,0.6004942827117575,0.6166399090909092,0.98492754,0.6299215,0.7567748,0.7123934,0.976665715,0.9118693174535357,0.9563091349999999,0.03441905602812767,3.8783373832702637,6.012216567993164,6.046963214874268,0.011556474747474768,0.5533157373737374,0.6344424106478155,0.6186927373737374,0.9438912,0.5887353,0.491839,0.4842546,0.95081493,0.9549825731681265,0.9697133749999999,0.0782468244433403,3.537593364715576,3.0696640014648438,3.2884371280670166,0.04510523232323231,0.49797543434343433,0.359682760093997,0.390623090909091,0.9750423,0.4436703,0.40882856,0.41425568,0.99014134,0.9861031670583209,0.9906779900000001,0.04252757132053375,2.871285915374756,2.8542964458465576,3.16206955909729,0.018132868686868683,0.3638285151515152,0.294457995895723,0.3278260303030303,0.9673292,0.59687716,0.6164305,0.58026445,0.9708423350000001,0.9578185243537706,0.969034115,0.04994567483663559,3.826937198638916,3.8394839763641357,4.276109218597412,0.0236400909090909,0.5234960303030304,0.4882484533435186,0.48862072727272726,0.103386156,0.1020879,0.102232814,0.101899154,0.9371948750000001,0.88762411076693,0.9483797999999999,2.269347906112671,2.3020620346069336,2.30072021484375,2.3035571575164795,0.8833,0.032100000000000004,0.0426714377269814,0.011800000000000005
